date,nav_hold,nav_switch_A,nav_switch_B
20240425,13344093.188308984,9345647.249571232,7561463.30769255
20240426,13473274.830418084,9345647.249571232,7634664.403716911
20240429,13430477.007559486,9345647.249571232,7610412.911867473
20240430,13438358.74289256,9345647.249571232,7614879.116627959
20240506,13873430.53327829,9345647.249571232,7861413.619406764
20240507,13950671.539542424,9345647.249571232,7905182.426059524
20240508,13903144.675483983,9345647.249571232,7878251.211353796
20240509,13840327.244879376,9345647.249571232,7842655.559412724
20240510,13706180.109510442,9345647.249571232,7766640.75438926
20240513,13446240.478225635,9345647.249571232,7619345.321388445
20240514,13414555.902186675,9345647.249571232,7601391.178251293
20240515,13398950.066227186,9345647.249571232,7592548.092825531
20240516,13434417.875226023,9345647.249571232,7612646.0142477155
20240517,13517176.09622331,9345647.249571232,7659541.164232815
20240520,13469885.68422486,9345647.249571232,7632743.935669902
20240521,13438358.74289256,9345647.249571232,7614879.116627959
20240522,13380900.892314445,9345647.249571232,7582320.483924019
20240523,13335975.000915918,9345647.249571232,7556863.116789251
20240524,13218300.692393111,9345647.249571232,7490182.6797152
20240527,13163443.81447491,9345647.249571232,7459097.894582221
20240528,13120251.904849663,9345647.249571232,7434623.092494761
20240529,13194024.947567241,9345647.249571232,7476426.769052906
20240530,12996981.564240372,9345647.249571232,7364771.650040765
20240531,12992646.60980718,9345647.249571232,7362315.237422499
20240603,12921238.087689523,9345647.249571232,7321851.422292498
20240604,13030084.852639286,9345647.249571232,7383529.710034805
20240605,12957572.887574997,9345647.249571232,7342440.626238337
20240606,12924548.416529413,9345647.249571232,7323727.228291902
20240607,12761948.216608081,9345647.249571232,7338726.007384806
20240611,12366442.737594387,9345647.249571232,7338726.007384806
20240612,12387565.788287027,9345647.249571232,7338726.007384806
20240613,12256177.260284668,9345647.249571232,7338726.007384806
20240614,12256098.442931337,9345647.249571232,7338726.007384806
20240617,12149695.015934827,9345647.249571232,7338726.007384806
20240618,11992060.30927333,9345647.249571232,7338726.007384806
20240619,12075598.117511107,9345647.249571232,7338726.007384806
20240620,12068357.585661832,9345647.249571232,7338726.007384806
20240621,11834247.055868646,9345647.249571232,7338726.007384806
20240624,11878897.002272502,9345647.249571232,7338726.007384806
20240625,11960151.859692132,9345647.249571232,7338726.007384806
20240626,11980230.082929628,9345647.249571232,7338726.007384806
20240627,11990446.768312125,9345647.249571232,7338726.007384806
20240628,11804615.71922893,9345647.249571232,7338726.007384806
20240701,11587330.150582304,9345647.249571232,7338726.007384806
20240702,11992136.141485607,9345647.249571232,7338726.007384806
20240703,12066951.239168452,9345647.249571232,7338726.007384806
20240704,11952234.756054757,9345647.249571232,7338726.007384806
20240705,11688853.433674507,9345647.249571232,7338726.007384806
20240708,11423380.506412802,9345647.249571232,7338726.007384806
20240709,11568425.260307606,9345647.249571232,7338726.007384806
20240710,11564885.62127745,9345647.249571232,7338726.007384806
20240711,11761979.158183867,9345647.249571232,7338726.007384806
20240712,11896565.887671394,9345647.249571232,7338726.007384806
20240715,11865030.921766369,9345647.249571232,7338726.007384806
20240716,11873880.019341756,9345647.249571232,7338726.007384806
20240717,12078213.726991678,9345647.249571232,7338726.007384806
20240718,12046920.100111432,9345647.249571232,7319469.21196882
20240719,12273054.76633345,9345647.249571232,7456864.140582615
20240722,12058906.605009006,9345647.249571232,7326751.974104521
20240723,11704942.701993398,9345647.249571232,7111690.541909324
20240724,11584434.082284903,9345647.249571232,7038471.899766507
20240725,11507768.718745386,9345647.249571232,6991891.548656956
20240726,11440998.255221987,9345647.249571232,6951323.142129226
20240729,11246559.447588187,9345647.249571232,6833185.987216546
20240730,11101514.693693383,9345647.249571232,6745059.677614742
20240731,11433677.638136892,9345647.249571232,6946875.280690642
20240801,11151150.086457161,9345647.249571232,6775217.155720295
20240802,11145438.396203954,9345647.249571232,6771746.846246236
20240805,11343014.61115994,9345647.249571232,6891790.227489737
20240806,11300297.603773283,9345647.249571232,6865836.222831635
20240807,11387179.652695296,9345647.249571232,6918624.02891591
20240808,11509377.645577276,9345647.249571232,6992869.10062148
20240809,11558530.360291487,9345647.249571232,7022733.313137675
20240812,11552899.116379876,9345647.249571232,7019311.881261842
20240813,11447594.855232732,9345647.249571232,6955331.105183772
20240814,11369481.457544515,9345647.249571232,6907870.95730615
20240815,11478808.035771383,9345647.249571232,6974295.613295531
20240816,11513480.408998594,9345647.249571232,6995361.858131015
20240819,11467143.316240186,9345647.249571232,6967208.361552735
20240820,11445261.911326494,9345647.249571232,6953913.654835213
20240821,11403912.491746943,9345647.249571232,6928790.569346956
