date,nav_hold,nav_switch_A,nav_switch_B
20170718,1901783.8083450496,1105368.7038848463,1869532.5307803964
20170719,1908668.0936241266,1113978.1480887395,1876300.069353357
20170720,1888015.2377868954,1101924.2817433248,1855997.453634475
20170721,1901995.9234275213,1110083.9918317266,1869741.0487229773
20170724,1912475.2398100416,1116200.1570759783,1880042.652297208
20170725,1921208.0034621423,1121296.9614461882,1888627.321942401
20170726,1875797.632471219,1094793.5787210965,1843987.039787399
20170727,1849599.3415149173,1079503.1656104669,1818233.0308518207
20170728,1875797.632471219,1094793.5787210965,1843987.039787399
20170731,1863571.7633582782,1087658.0526028026,1831968.502284129
20170801,1928194.2143838226,1125374.404942356,1895495.057658555
20170802,1947406.2944184444,1136587.3745568183,1914381.3308779793
20170803,1922954.5561925627,1122316.3223202303,1890344.2558714396
20170804,1950899.3998792847,1138626.096304902,1917815.1987360565
20170807,1921208.0034621423,1121296.9614461882,1888627.321942401
20170808,1929940.767114243,1126393.7658163982,1897211.9915875937
20170809,1874051.079740799,1093774.2178470548,1842270.1058583604
20170810,1854838.9997061773,1082561.2482325926,1823383.8326389361
20170811,1750045.8358809697,1021399.5957900733,1720367.7968966234
20170814,1784976.8904893727,1041786.8132709133,1754706.4754773946
20170815,1800695.8650631537,1050961.0611372911,1770158.8808387415
20170816,1805935.5232544139,1054019.143759417,1775309.682625857
20170817,1819907.9450977747,1062174.030751753,1789045.1540581651
20170818,1823401.050558615,1064212.7524998367,1792479.0219162423
20170821,1826894.1560194555,1066251.474247921,1795912.8897743197
20170822,1860078.657897438,1085619.3308547186,1828534.6344260518
20170823,1903742.4761579412,1111103.3527057685,1871457.9826520155
20170824,1908982.1343492013,1114161.4353278943,1876608.784439131
20170825,1940420.0834967636,1132509.9310606502,1907513.595161825
20170828,1982337.3490268472,1156974.592037658,1948720.0094587503
