trial,total,ann,sharpe,mdd,n_A,n_G,has_cashbond,eq_total
183,-0.49432343158422376,-0.09280582148879835,-0.3774387883987768,-0.548173917033389,4,6,True,0.7648544895076796
184,0.028721130346980317,0.004052997160580274,0.05405216129580344,-0.48169438527092534,3,7,True,0.6988813722224232
185,0.22454792676865787,0.0293587032490219,0.15464825191635698,-0.2866942843888765,5,5,True,0.6626671114126583
186,0.07885034274468472,0.010900201319352432,0.07369657502729149,-0.3771102670818609,3,7,True,0.6174920229865555
187,-0.25079361844894943,-0.04040566492519704,-0.2817879211052763,-0.35050028541505074,6,4,True,0.8037654315639085
188,0.24209905085902816,0.03145331238107563,0.16831045898953154,-0.3176226791478975,4,6,True,0.5412993195409253
189,-0.2146795675633859,-0.03393095741332619,-0.19364404748140046,-0.3355331754555883,3,7,True,0.6344314076346893
190,-0.14474905675615668,-0.022087429588919405,-0.08354553779083633,-0.44558049987781595,4,6,True,0.4859195964740759
191,-0.03290204484060388,-0.0047674878082345495,-0.01647846275620194,-0.3165844765074228,6,4,True,0.6863234515094021
192,0.11574796213372407,0.015767920675763714,0.08865672365249574,-0.3178694197485085,4,6,True,1.0120626140120637
193,-0.20361080364079276,-0.03199760368873228,-0.16729631647893967,-0.34002248715522404,3,7,True,0.6141479247095352
194,-0.5398906414001496,-0.10496090786005119,-0.45366377850943773,-0.6327754691006812,6,4,True,0.8535493001141554
195,0.12640461091624333,0.017148106716684763,0.09491044911268817,-0.3427258056289328,6,4,True,0.8754481762386834
196,0.08642494505853837,0.011910996815279074,0.0639752724330799,-0.27884768937121607,7,3,True,0.5667184176190552
197,0.3884369127559635,0.0479942215851521,0.2496598896302187,-0.4246331555875039,5,5,True,1.072947920374574
198,0.09910504756181959,0.013589656464856992,0.08283311899665545,-0.3247573550828774,5,5,True,0.9490772337804887
199,-0.39277765412879406,-0.06877912280259679,-0.3210119783316997,-0.4624191004286815,4,6,True,0.5307870408778346
200,-0.2963878837948949,-0.04897352945953892,-0.17087859584256107,-0.4799199074583502,4,6,True,0.8455663518734073
201,-0.09998955622800276,-0.014935712132370216,-0.2062064270971812,-0.31772989983766703,6,4,True,0.9813037938688389
202,0.059000616569944375,0.008222195824553857,0.05945239592495166,-0.32307345915131686,5,5,True,0.5413581173773094
